CHILDID,DOBMM,DOBDD,DOBYY,GENDER,RACE,R1_KAGE,C1R4RSCL,C1R4MSCL,C5R4RSCL,C5R4MSCL,P1HMAFB,WKSESL,P1WICMOM,P1WICCHD
1052015C,4,12,1993,2,2,68.0,31.23,19.42,NA,NA,21,-0.77,1,1
1052016C,8,13,1993,2,3,63.83,36.3,32.84,NA,NA,23,0.14,2,2
1052017C,6,29,1993,1,3,65.4,31.09,19.39,127.43,104.32,19,-0.36,1,1
1052018C,8,10,1993,1,1,63.93,25.78,18.79,92.2,90.28,NA,NA,NA,NA
1052019C,11,10,1992,1,3,73.03,29.19,22.09,153.72,104.11,17,0.04,2,2
1052020C,2,11,1993,1,2,69.93,128.27,45.71,167.23,147.43,28,0.22,2,2
1052021C,10,30,1992,1,1,73.4,36.8,41.11,145.42,136.96,30,0.9,2,2
1052022C,7,16,1993,2,3,64.77,45.54,33.49,153.75,130.25,21,0.3,1,1
1052023C,5,5,1993,1,7,67.23,45.81,30.07,154.49,118.25,34,0.05,2,1
1052024C,7,7,1993,1,1,65.13,38.98,23.94,116.9,95.0,15,-0.65,1,1
1053001C,2,15,1993,1,5,69.67,-1.0,-1.0,109.14,103.96,30,-0.45,1,1
1053002C,6,13,1993,2,5,65.73,-1.0,-1.0,119.08,94.06,NA,NA,NA,NA
1053003C,11,25,1992,2,5,72.4,-1.0,-1.0,125.24,101.07,NA,NA,NA,NA
1053004C,9,3,1993,2,5,62.97,52.28,35.78,180.71,127.02,30,1.16,2,2
1053005C,5,3,1993,2,5,67.1,-1.0,-1.0,87.98,43.19,NA,NA,NA,NA
1053006C,8,19,1993,1,5,63.5,-1.0,-1.0,66.33,69.02,27,-0.89,1,1
1053007C,7,9,1992,1,5,77.0,38.69,37.01,122.2,91.49,NA,-0.64,NA,NA
1053008C,5,11,1993,2,5,NA,NA,NA,127.42,127.98,NA,NA,NA,NA
1053009C,6,7,1993,2,5,66.13,-1.0,-1.0,121.22,110.31,NA,NA,NA,NA
1053010C,5,4,1993,2,5,67.07,32.54,26.65,NA,NA,NA,NA,NA,NA
1053011C,12,10,1992,1,3,71.87,26.61,16.8,82.75,68.16,20,-4.47,1,1
1053012C,6,18,1993,2,1,65.53,29.74,19.92,NA,NA,23,-0.03,1,1
1053013C,7,7,1993,1,1,64.93,24.81,18.61,75.07,78.57,19,0.0,1,1
1053014C,6,30,1993,1,1,66.3,30.3,21.43,131.91,103.93,18,0.14,2,2
1053015C,12,31,1992,1,8,NA,NA,NA,NA,NA,NA,-0.14,NA,NA
1053016C,8,12,1992,1,1,75.9,51.0,45.02,167.18,133.12,22,0.2,1,1
1053017C,9,14,1992,1,8,75.93,33.4,28.11,NA,NA,25,0.61,1,1
1053018C,12,5,1992,1,1,72.03,40.6,31.0,105.45,89.14,-1,0.05,2,2
1053019C,6,9,1993,1,1,65.83,39.8,32.1,178.88,123.81,35,0.18,2,2
1053020C,11,30,1992,2,2,72.23,42.0,33.01,138.46,102.63,16,-0.39,1,1
1053021C,1,3,1993,2,1,71.07,41.62,33.93,146.3,89.82,29,-0.19,2,2
1053022C,6,30,1993,1,8,65.13,25.98,19.21,115.89,91.01,22,-0.77,1,1
1053023C,12,2,1992,2,1,72.13,51.42,34.86,112.62,105.78,-1,0.09,1,1
1053024C,10,30,1992,1,3,73.23,53.62,47.16,150.19,147.08,31,-0.19,2,2
1053025C,7,7,1993,2,1,64.93,24.75,17.53,86.52,72.48,19,0.0,1,1
1053026C,12,31,1992,1,8,NA,NA,NA,NA,NA,NA,-0.14,NA,NA
1054001C,7,26,1993,1,5,NA,NA,NA,NA,NA,NA,-0.02,NA,NA
1054002C,3,9,1993,1,8,68.57,36.82,40.65,126.02,112.11,NA,1.38,NA,NA
1054003C,4,6,1993,1,8,67.63,33.09,26.82,145.13,107.52,28,0.19,2,2
1054004C,12,26,1992,2,5,71.03,50.6,46.52,188.27,144.06,29,0.55,2,2
1054005C,5,19,1993,2,5,66.23,67.49,45.01,NA,NA,26,0.9,2,2
1054006C,8,13,1993,2,5,63.37,24.42,22.47,148.81,109.37,32,0.08,2,2
1054007C,5,12,1993,2,5,66.47,33.42,38.69,151.52,120.76,21,-0.39,2,2
1054008C,6,21,1993,1,5,65.13,36.1,28.15,142.26,101.35,23,0.74,1,1
1054009C,4,23,1992,1,5,79.0,-1.0,-1.0,64.88,59.98,26,-1.14,2,-8
1054010C,4,10,1993,2,5,67.57,-1.0,-1.0,91.87,63.99,NA,0.07,NA,NA
1054012C,3,2,1993,1,1,68.8,27.35,27.81,NA,NA,30,0.23,2,2
1054013C,11,17,1992,2,1,72.37,28.06,18.79,NA,NA,NA,0.88,NA,NA
1054014C,3,13,1993,1,1,68.43,58.18,38.6,182.23,134.15,30,1.16,2,2
1054015C,10,15,1992,1,3,73.47,24.89,17.79,NA,NA,22,0.7,2,2
1054016C,5,7,1993,1,2,NA,NA,NA,NA,NA,NA,-0.89,NA,NA
1054017C,1,2,1993,1,1,70.8,55.67,46.99,NA,NA,NA,1.01,NA,NA
1054018C,7,30,1993,1,3,-9.0,NA,NA,NA,NA,NA,-0.62,NA,NA
1054020C,7,31,1993,1,7,63.77,30.41,16.17,NA,NA,17,-0.32,1,1
1054021C,1,22,1993,2,1,70.1,40.79,40.01,155.24,116.58,39,1.28,2,2
1054022C,8,12,1993,2,4,63.43,30.42,18.11,165.8,91.58,19,0.06,2,1
1054023C,6,21,1992,1,1,79.0,25.45,27.31,119.18,101.17,NA,0.0,NA,NA
1054024C,8,30,1993,2,2,62.77,27.14,20.1,NA,NA,-1,0.53,-1,1
1056001C,4,9,1993,2,5,67.9,34.06,28.82,146.66,85.46,21,0.55,2,2
1056002C,10,2,1992,2,1,74.2,46.47,37.99,NA,NA,23,0.08,2,2
1056003C,4,6,1993,1,5,68.0,30.96,20.11,128.03,87.53,42,-0.23,2,2
1056004C,11,4,1992,2,1,73.1,50.07,36.21,145.08,103.82,21,0.42,2,2
1056005C,11,3,1992,1,1,-9.0,NA,NA,179.29,144.83,32,0.97,2,2
1056006C,6,9,1993,1,1,66.1,32.62,21.48,124.88,123.65,NA,1.05,NA,NA
1056007C,3,20,1992,1,1,NA,NA,NA,128.19,91.09,NA,1.31,NA,NA
1056008C,1,8,1993,1,1,71.17,123.22,66.26,175.26,161.18,29,1.11,2,2
1056009C,2,19,1993,2,1,69.77,50.34,62.5,158.85,117.71,25,1.17,2,2
1056010C,3,16,1993,2,4,68.93,24.11,17.0,NA,NA,27,-0.24,1,1
1056011C,2,6,1993,1,1,70.2,37.02,25.96,124.75,98.11,-1,1.4,-1,2
1056012C,11,24,1992,1,1,72.67,90.33,39.77,186.0,148.16,39,1.21,2,2
1056013C,9,7,1992,1,1,75.4,45.32,55.34,168.63,145.53,26,1.23,2,2
1056014C,8,8,1993,2,3,64.1,47.77,36.21,167.16,87.87,29,1.12,2,2
1056015C,10,14,1992,2,1,73.8,76.72,41.59,186.07,131.34,37,1.44,2,2
1056016C,8,24,1992,1,1,75.73,56.86,44.67,184.16,143.59,30,1.25,2,2
1056017C,9,23,1992,1,3,74.5,31.04,21.85,NA,NA,33,0.21,2,2
1056018C,10,8,1992,1,1,74.0,44.61,30.09,167.14,128.85,40,1.09,2,2
1056019C,11,4,1992,1,3,73.1,38.59,26.42,NA,NA,24,1.45,2,2
1056020C,11,11,1992,1,1,73.1,39.77,27.09,164.02,133.72,34,1.34,2,2
1056021C,6,5,1993,1,1,66.23,33.1,23.56,146.66,120.44,30,0.27,2,2
1056022C,4,30,1993,1,1,67.43,26.6,18.28,79.68,105.66,NA,NA,NA,NA
1056023C,12,18,1992,1,1,71.87,60.04,44.79,178.95,137.82,30,0.45,2,2
1056024C,8,6,1993,2,1,64.17,30.21,22.32,147.28,133.78,25,0.39,2,2
1056040C,7,12,1992,1,1,NA,NA,NA,91.61,109.66,NA,NA,NA,NA
1056041C,7,8,1992,1,1,NA,NA,NA,117.14,105.29,NA,NA,NA,NA
1061001C,10,2,1992,2,3,73.6,46.08,32.99,NA,NA,NA,0.03,NA,NA
1061002C,11,19,1992,2,1,72.0,41.45,37.72,NA,NA,32,0.37,2,2
1061003C,8,18,1993,2,1,62.93,27.0,19.23,104.94,81.8,NA,-0.31,NA,NA
1061004C,4,27,1993,1,1,66.7,24.64,20.32,NA,NA,18,0.06,2,2
1061005C,4,18,1993,2,1,67.0,37.01,36.11,NA,NA,NA,0.09,NA,NA
1061006C,8,6,1993,2,1,63.33,54.85,34.07,168.12,131.86,29,0.64,2,2
1061007C,1,18,1993,1,1,70.0,43.43,39.2,149.09,101.42,28,1.3,2,2
1061008C,8,30,1992,2,1,74.7,43.0,25.76,NA,NA,25,-0.45,1,1
1061009C,12,2,1992,2,1,71.57,35.24,27.45,NA,NA,17,-0.03,2,2
1061010C,10,15,1992,2,1,73.17,75.0,39.67,126.67,119.3,24,0.38,1,1
1061011C,1,27,1993,1,1,69.73,33.95,20.57,141.24,65.8,29,0.36,2,2
1061012C,2,5,1993,2,1,69.43,28.86,21.2,147.64,83.38,27,-0.32,2,2
1061013C,7,19,1993,2,1,63.93,37.4,25.97,NA,NA,24,0.49,2,1
1061014C,4,3,1993,2,1,67.53,29.88,23.46,NA,NA,29,1.83,2,2
1061015C,10,29,1992,2,1,72.7,50.11,41.4,NA,NA,22,0.6,1,1
1061016C,1,25,1993,1,1,69.77,34.42,24.79,NA,NA,27,0.48,1,1
1061017C,11,27,1992,1,1,73.17,49.89,42.18,139.29,116.14,27,-0.15,2,2
1061018C,6,12,1993,2,1,65.17,35.59,24.16,159.69,91.77,-1,-0.1,2,2
1061019C,5,9,1992,1,1,79.0,49.62,35.9,NA,NA,26,0.84,2,2
1061020C,7,20,1993,2,1,63.9,50.33,38.32,170.5,120.9,23,0.2,2,2
1061021C,7,19,1993,1,8,63.93,49.43,23.23,NA,NA,-1,0.08,-1,1
1061022C,8,21,1992,1,1,75.0,31.7,21.42,106.86,65.75,22,0.27,1,1
1061023C,10,5,1992,2,1,73.5,54.7,38.22,168.48,111.79,24,0.22,1,1
1061024C,7,18,1992,1,4,76.13,32.95,25.81,NA,NA,20,0.01,1,1
1061040C,1,25,1993,1,3,NA,NA,NA,166.53,150.75,NA,NA,NA,NA
1061041C,7,1,1993,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068002C,1,27,1993,1,1,70.4,42.91,38.19,145.25,138.8,33,0.17,2,2
1068003C,2,16,1993,1,4,69.73,25.37,13.77,124.29,63.06,25,-0.85,1,1
1068004C,10,15,1993,2,1,61.7,25.04,17.29,NA,NA,-1,-0.26,1,1
1068006C,5,6,1993,2,1,67.1,24.47,14.39,-9.0,-9.0,37,0.64,2,2
1068007C,10,2,1993,2,1,62.17,32.74,26.21,152.79,101.27,34,0.83,2,2
1068008C,2,16,1993,1,1,69.73,102.75,47.59,200.75,140.54,33,1.34,2,2
1068009C,3,20,1993,2,1,68.67,37.55,27.99,NA,NA,25,0.06,2,2
1068010C,7,29,1993,2,4,64.3,-1.0,16.09,116.87,94.14,21,-0.89,1,1
1068011C,1,15,1993,1,1,70.8,41.91,36.71,165.44,142.52,33,1.6,2,2
1068012C,10,26,1993,1,1,61.37,31.59,15.86,126.68,125.87,32,-0.02,2,2
1068013C,9,21,1993,1,1,62.5,33.15,18.56,73.83,117.09,30,0.73,2,2
1068014C,6,27,1993,1,4,65.37,-1.0,15.09,NA,NA,22,-0.63,2,1
1068015C,11,15,1993,2,4,60.67,-1.0,12.36,NA,NA,21,-1.26,1,1
1068016C,9,30,1993,1,4,62.2,-1.0,12.34,78.85,58.88,21,-1.14,1,1
1068017C,11,19,1993,1,4,60.53,-1.0,17.91,NA,NA,22,-1.22,1,1
1068018C,8,13,1993,2,4,63.8,-1.0,16.47,110.75,65.03,18,-0.66,2,2
1068019C,4,28,1993,1,4,67.37,-1.0,21.44,67.15,105.85,15,-1.04,2,1
1068020C,1,6,1993,2,4,71.13,-1.0,13.44,NA,NA,19,-0.84,1,1
1068021C,11,18,1992,2,3,72.73,49.67,43.01,NA,NA,23,0.28,2,2
1068022C,10,20,1993,1,1,61.53,29.62,17.94,NA,NA,23,-1.12,1,1
1068023C,7,21,1993,1,4,64.57,-1.0,21.49,NA,NA,23,-0.39,1,1
1068024C,2,25,1993,2,3,69.43,33.11,22.41,137.87,79.37,18,-0.83,1,1
1070001C,8,25,1993,1,5,63.17,34.77,25.06,NA,NA,35,2.06,2,2
1070002C,7,20,1993,1,1,64.7,37.85,43.05,NA,NA,27,1.51,2,2
1070003C,9,15,1993,2,1,62.47,32.56,28.28,NA,NA,29,0.74,2,2
1070004C,1,23,1994,2,1,58.13,31.89,26.0,NA,NA,37,1.28,2,2
1070005C,3,5,1993,1,1,68.93,32.54,19.65,NA,NA,23,0.13,2,2
1070006C,2,12,1993,1,1,69.63,49.38,40.93,NA,NA,36,1.29,2,2
1070007C,9,18,1993,1,1,62.37,25.34,15.06,NA,NA,29,0.97,2,2
1070008C,11,23,1993,1,1,60.2,26.77,30.28,NA,NA,28,1.19,2,2
1070009C,4,21,1994,1,8,55.2,40.06,26.85,NA,NA,27,1.14,2,2
1070010C,10,26,1993,2,1,61.1,29.05,20.23,NA,NA,28,0.95,2,2
1070011C,12,23,1992,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070012C,3,29,1993,2,3,68.17,30.9,23.36,NA,NA,NA,0.4,NA,NA
1070013C,9,5,1993,2,1,62.83,32.24,22.44,NA,NA,30,0.65,2,2
1070014C,11,19,1992,1,1,72.5,26.68,26.17,NA,NA,NA,NA,NA,NA
1070015C,5,20,1993,2,1,66.4,29.72,26.52,NA,NA,24,-0.06,2,2
1070016C,12,5,1993,2,1,59.77,28.7,21.47,NA,NA,26,0.09,2,2
1070017C,1,1,1994,2,3,58.9,23.55,16.4,NA,NA,35,0.03,2,2
1070018C,7,1,1993,2,8,65.03,33.58,26.95,NA,NA,17,1.11,2,2
1070019C,2,12,1993,2,1,69.63,44.77,25.7,NA,NA,29,-2.35,2,2
1070020C,10,3,1993,1,1,61.87,25.84,18.07,NA,NA,30,0.29,2,2
1070021C,11,30,1993,2,1,59.97,24.34,18.95,NA,NA,30,0.37,2,2
1070022C,6,24,1993,1,1,65.27,26.07,17.13,NA,NA,30,0.33,2,2
1070023C,8,8,1993,2,3,64.47,29.95,20.69,NA,NA,35,-0.13,2,2
1070024C,12,27,1992,1,1,71.2,39.02,26.45,NA,NA,27,1.16,1,-8
1070025C,10,15,1992,2,1,NA,NA,NA,NA,NA,NA,0.89,NA,NA
1070026C,6,11,1993,2,1,65.7,49.21,28.23,NA,NA,34,0.76,2,2
1070027C,5,3,1993,1,1,66.97,27.43,18.25,NA,NA,NA,0.34,NA,NA
1071001C,6,26,1993,2,5,64.73,26.69,20.68,NA,NA,NA,NA,NA,NA
1071002C,3,23,1993,1,3,67.9,-1.0,18.07,125.09,65.74,17,-0.81,2,2
1071003C,6,21,1993,1,1,64.9,27.42,15.2,60.35,62.93,30,-0.18,1,1
1071004C,8,31,1993,2,1,62.63,25.43,19.57,104.12,75.16,25,0.03,2,2
1071005C,7,19,1993,2,7,64.07,27.78,25.64,147.66,121.49,27,-0.32,2,2
1071006C,10,6,1993,2,4,61.33,27.95,16.07,128.25,100.07,19,-0.21,2,2
1071007C,3,25,1993,2,3,67.83,30.3,14.41,126.82,79.6,20,0.08,2,2
1071008C,2,19,1993,1,1,68.97,25.81,18.21,125.61,91.17,30,-0.35,2,2
1071009C,6,3,1993,2,4,65.6,-1.0,13.76,117.84,80.08,17,0.67,1,2
1071010C,5,11,1993,1,2,66.27,28.83,20.76,155.01,106.84,19,0.22,1,1
1071011C,1,12,1993,1,1,70.23,38.1,36.49,177.96,118.15,33,0.75,2,2
1071012C,6,22,1993,1,8,64.87,41.13,25.08,126.25,106.99,31,0.57,2,2
1071013C,6,17,1993,1,1,65.03,33.72,22.49,126.19,111.41,20,-0.46,1,1
1071014C,9,1,1993,2,1,62.5,39.23,19.59,132.88,75.21,25,0.27,2,2
1071015C,5,11,1993,1,1,66.27,37.56,32.83,145.05,89.57,38,0.4,2,2
1071016C,7,13,1993,1,1,64.17,34.24,29.26,149.29,139.71,35,0.2,2,2
1071017C,5,18,1993,2,1,66.03,28.59,20.05,122.57,83.07,26,0.05,2,2
1071018C,8,23,1993,1,1,62.8,38.71,31.13,152.49,109.75,34,0.61,2,2
1071019C,11,12,1992,2,1,72.37,29.3,22.0,112.12,102.53,18,0.29,2,2
1071020C,10,30,1993,2,3,60.53,25.32,17.86,120.16,83.2,33,1.22,2,2
1071021C,9,10,1993,2,1,62.2,35.06,22.5,144.85,103.72,NA,NA,NA,NA
1071022C,12,9,1992,2,1,71.37,39.42,27.9,127.24,98.36,28,0.89,2,2
1071023C,8,27,1993,1,1,62.77,29.85,27.63,165.21,113.44,35,0.43,2,2
1071024C,4,14,1993,1,1,67.17,36.73,43.57,NA,NA,21,0.84,2,2
1073001C,10,10,1993,1,6,61.5,35.39,19.6,124.93,105.08,-1,-0.62,2,2
1073002C,2,17,1993,1,5,69.07,29.37,20.94,106.36,91.86,17,-0.08,1,1
1073003C,6,28,1993,2,6,64.7,-1.0,-1.0,83.75,88.21,21,-0.62,2,2
1073004C,11,23,1993,2,1,59.77,26.99,27.29,152.85,113.85,25,0.35,2,2
1073005C,4,30,1993,2,1,66.67,24.27,19.24,-9.0,53.24,22,-0.3,1,1
1073006C,8,1,1993,1,1,63.57,26.01,19.82,104.58,115.79,24,0.05,2,2
1073007C,8,25,1993,1,1,62.77,42.51,41.58,163.72,144.75,22,-0.49,2,2
1073008C,6,27,1993,1,3,64.73,35.55,25.18,105.98,63.86,21,-0.29,2,2
1073009C,4,29,1993,1,4,66.7,-1.0,14.53,NA,NA,NA,NA,NA,NA
1073010C,12,9,1992,2,1,71.67,47.93,28.67,NA,NA,19,0.17,1,1
1073011C,11,15,1993,1,4,-9.0,NA,NA,NA,NA,15,-0.96,2,2
1073012C,9,9,1993,1,1,62.27,24.14,25.74,107.21,103.74,30,-0.33,2,2
1073013C,11,10,1992,1,1,72.37,31.68,22.96,92.46,90.39,21,-0.45,2,2
1073015C,11,11,1993,1,1,60.17,29.16,23.98,99.02,87.81,31,-0.39,2,2
1073016C,11,3,1992,1,1,72.6,28.56,18.02,168.69,130.62,25,0.1,2,2
1073017C,8,4,1993,1,4,63.73,23.52,13.88,78.41,64.17,19,-0.82,1,1
1073018C,5,18,1993,1,5,66.07,-1.0,-1.0,151.39,127.36,NA,NA,NA,NA
1073019C,8,10,1993,2,3,63.53,-1.0,24.44,92.79,103.41,20,-0.62,2,2
1073020C,3,23,1993,1,3,67.93,36.94,28.07,88.88,105.35,26,0.13,2,2
1073022C,2,2,1993,1,1,69.57,40.01,28.29,174.44,109.19,30,-0.1,2,2
1073023C,12,23,1992,2,3,71.2,48.69,31.61,162.03,103.1,16,-0.21,2,2
1073024C,11,30,1992,1,1,71.7,33.58,27.95,142.14,98.62,27,-0.44,2,2
1073025C,8,1,1993,1,1,63.83,26.72,20.94,92.75,122.45,24,0.05,2,2
1078001C,4,11,1993,2,5,68.17,34.74,29.65,NA,NA,21,-0.82,1,1
1078002C,11,30,1992,1,5,73.13,25.58,18.92,NA,NA,28,-0.82,2,1
1078003C,10,10,1993,2,5,62.1,-1.0,-1.0,123.78,100.72,31,-0.89,2,2
1078004C,2,21,1992,2,4,79.0,41.99,37.88,NA,NA,20,-0.82,1,1
1078005C,1,25,1993,2,4,71.47,-1.0,28.5,138.37,117.19,21,-1.04,2,1
1078007C,4,29,1993,2,4,67.6,-1.0,16.4,104.65,69.95,20,-0.63,1,1
1078008C,2,18,1993,1,2,69.93,42.17,25.59,NA,NA,19,-0.27,1,1
1078009C,11,30,1993,2,4,60.4,-1.0,12.41,84.86,62.72,19,-0.94,1,1
1078011C,1,28,1993,2,4,70.6,-1.0,21.34,105.99,113.15,17,-0.25,1,1
1078012C,6,2,1993,1,4,66.47,-1.0,12.15,88.43,60.5,20,-0.55,1,1
1078013C,3,20,1993,1,4,68.9,26.74,22.98,126.22,106.15,17,-1.02,1,1
1078014C,10,4,1993,2,4,62.3,-1.0,15.04,95.83,61.87,21,-1.27,2,1
1078015C,9,19,1992,2,1,75.53,38.65,26.32,NA,NA,15,-2.65,1,1
1078016C,5,4,1993,2,-9,67.97,25.52,18.95,NA,NA,NA,NA,NA,NA
1078017C,6,11,1993,1,4,66.7,-1.0,13.66,NA,NA,17,-1.02,1,1
1078018C,4,4,1993,2,4,68.97,-1.0,23.26,NA,NA,20,-0.94,1,1
1078019C,7,7,1993,1,1,65.27,26.93,17.51,NA,NA,17,-0.61,2,2
1078020C,10,11,1993,1,4,62.1,-1.0,16.74,125.67,101.25,26,-0.85,1,1
1078021C,3,1,1993,2,4,70.1,-1.0,13.83,89.27,77.6,24,-0.88,1,1
1078022C,6,2,1993,1,4,67.0,25.07,16.07,84.27,74.01,13,-1.19,1,1
1078023C,3,15,1993,2,3,69.63,35.39,26.64,163.63,103.04,26,0.1,1,1
1078024C,1,3,1993,2,3,71.43,43.85,27.99,NA,NA,21,0.33,2,2
1079003C,4,5,1994,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1082002C,10,13,1992,1,5,NA,NA,NA,114.3,95.72,NA,0.31,NA,NA
1082003C,8,14,1993,1,5,63.3,41.75,30.03,159.07,130.92,40,0.44,2,2
1082004C,7,10,1993,2,3,64.47,51.74,33.62,155.95,103.34,34,0.35,2,2
1082005C,3,2,1993,2,1,68.8,41.85,31.27,165.84,119.13,26,0.88,2,2
1082006C,2,5,1993,2,1,69.63,43.33,38.59,179.38,119.48,30,2.17,2,2
1082007C,8,15,1993,2,1,63.27,32.04,28.06,126.16,111.22,26,1.08,2,2
1082008C,7,24,1992,2,1,-9.0,NA,NA,NA,NA,NA,NA,NA,NA
1082009C,6,23,1993,1,3,65.03,42.45,25.59,149.26,105.5,29,0.96,2,2
1082010C,11,14,1992,1,1,72.4,40.33,21.38,158.13,134.68,23,0.93,2,2
1082011C,10,19,1993,1,3,61.1,30.59,17.88,117.28,108.38,37,0.95,2,2
1082012C,8,4,1993,2,1,-9.0,NA,NA,144.38,121.94,28,1.46,2,2
1082014C,1,27,1993,1,1,69.93,95.99,40.25,146.87,138.54,32,2.47,2,2
1082016C,1,9,1993,2,2,70.53,35.83,29.72,141.67,92.86,31,0.53,2,2
1082017C,10,5,1993,2,1,61.6,45.72,45.63,171.39,142.35,32,2.59,2,2
1082018C,6,23,1993,2,1,65.03,34.69,25.09,137.23,72.32,36,1.23,2,2
1082020C,8,15,1992,1,1,75.43,36.11,34.57,150.22,135.33,32,2.34,2,2
1082021C,1,2,1993,2,1,70.77,29.4,29.28,148.04,126.36,25,-0.09,2,2
1082023C,9,27,1993,2,8,61.83,36.11,33.64,126.33,88.64,33,1.34,2,2
1082024C,4,14,1993,2,1,67.37,38.04,23.17,153.3,117.08,32,1.48,2,2
1083001C,2,6,1993,2,8,68.97,50.54,42.0,167.03,149.87,29,1.91,2,2
1083003C,7,4,1993,2,8,64.03,28.6,19.26,140.36,104.01,35,2.61,2,2
1083004C,4,7,1993,2,8,66.93,24.68,14.89,141.0,104.9,31,-0.16,2,2
1083005C,3,14,1993,1,5,67.73,42.71,37.43,167.01,131.77,24,0.29,2,2
1083006C,6,19,1993,2,5,64.53,47.98,32.15,161.07,123.1,-1,1.71,-1,2
1083007C,10,22,1993,1,5,60.4,-1.0,-1.0,128.65,120.23,24,0.53,2,2
1083008C,9,16,1992,1,1,73.73,31.28,25.97,131.38,105.63,29,0.01,2,2
1083009C,12,31,1992,1,1,70.2,43.92,39.06,151.93,157.45,22,1.12,2,2
1083010C,11,9,1993,2,1,59.77,30.99,31.16,160.65,146.43,35,2.1,2,2
1083011C,12,10,1992,2,1,70.9,35.14,20.82,NA,NA,NA,NA,NA,NA
1083012C,7,29,1993,2,1,63.2,26.07,16.13,106.9,108.22,32,-0.36,2,2
1083013C,7,27,1993,1,1,63.3,35.39,23.98,124.75,136.79,34,1.51,2,2
1083014C,8,4,1993,2,3,63.0,-1.0,20.35,NA,NA,24,-0.68,2,2
1083015C,10,27,1992,1,1,72.37,77.37,48.7,NA,NA,27,1.34,2,2
1083016C,7,31,1993,1,3,63.13,24.13,18.88,152.43,116.99,20,-1.13,2,1
1083018C,7,6,1993,2,1,64.0,25.09,14.25,NA,NA,21,-0.41,2,2
1083019C,2,13,1993,2,1,68.7,27.37,17.78,NA,NA,19,-0.39,2,2
1083020C,8,22,1993,2,1,62.4,45.58,36.51,NA,NA,33,1.17,2,2
1083021C,9,29,1993,1,4,61.1,-1.0,18.26,127.58,92.33,21,1.49,2,2
1083022C,7,15,1993,2,4,63.7,23.05,14.0,106.49,83.46,17,-0.13,2,2
1083023C,2,16,1993,1,1,-9.0,NA,NA,NA,NA,NA,-0.11,NA,NA
1083025C,9,16,1992,1,1,74.43,36.42,23.65,144.83,86.2,29,0.01,2,2
1084001C,9,18,1993,1,5,62.0,-1.0,-1.0,101.8,120.04,NA,NA,NA,NA
1084002C,12,2,1993,1,2,59.5,25.61,16.46,NA,NA,16,-0.76,1,1
1084004C,9,4,1992,1,4,74.63,24.56,19.35,NA,NA,17,-0.61,1,1
1084005C,7,8,1993,2,1,64.4,23.98,16.94,112.21,104.61,23,-0.7,1,1
1084006C,6,17,1993,1,1,65.1,-1.0,-1.0,NA,NA,23,-0.51,1,1
1084007C,6,29,1993,1,4,64.7,-1.0,11.83,56.45,39.7,20,-0.89,2,2
1084008C,4,25,1993,2,4,66.87,-1.0,15.39,NA,NA,18,-0.08,1,1
1084009C,12,25,1992,1,4,70.9,32.61,23.11,107.28,111.95,19,-0.63,2,2
1084010C,5,16,1993,1,4,66.17,25.45,18.06,132.12,127.96,19,-0.04,2,2
1084011C,10,5,1993,2,4,61.43,-1.0,12.11,75.07,48.55,21,-1.1,1,1
1084012C,1,19,1993,2,4,70.07,-1.0,14.33,86.25,84.82,19,-0.97,1,1
1084013C,9,14,1992,1,1,74.3,-1.0,-1.0,NA,NA,NA,NA,NA,NA
1084015C,3,28,1993,2,2,67.8,27.2,13.33,111.55,88.04,17,-0.79,1,1
1084016C,12,18,1992,1,1,71.13,-1.0,-1.0,107.79,91.42,NA,NA,NA,NA
1084017C,6,13,1992,2,1,77.4,-1.0,-1.0,110.73,94.91,NA,NA,NA,NA
1084018C,1,12,1993,1,2,70.3,59.88,33.21,138.79,113.42,16,-0.46,1,1
1084019C,1,9,1993,1,4,70.4,-1.0,19.64,118.32,87.4,20,-0.14,1,2
1084020C,10,2,1993,2,4,61.53,-1.0,13.36,88.25,96.52,21,-0.81,2,2
1084021C,1,6,1993,1,4,70.5,-1.0,12.8,106.6,70.3,16,-0.57,2,2
1084022C,6,14,1993,1,4,65.2,-1.0,17.47,79.3,99.62,-1,-1.03,2,2
1084023C,7,31,1993,1,4,63.67,-1.0,16.63,74.18,78.21,18,-0.61,1,1
1084024C,6,24,1993,1,4,64.87,-1.0,16.77,68.58,103.82,16,-1.19,1,1
1085001C,11,18,1993,1,1,59.17,24.08,12.75,NA,NA,26,-0.51,2,2
1085002C,1,21,1993,2,1,69.2,35.73,20.95,147.57,97.2,17,-0.4,2,2
1085003C,3,16,1993,1,4,67.4,-1.0,13.02,108.33,80.34,17,-1.14,1,1
1085004C,1,23,1993,2,1,69.1,43.31,20.15,146.52,86.79,-1,-0.21,1,2
1085005C,3,4,1993,2,8,67.8,23.42,15.14,NA,NA,19,-0.96,1,1
1085007C,9,9,1993,2,8,61.5,27.32,19.52,NA,NA,32,-0.8,1,1
1085008C,7,3,1993,2,1,63.8,24.35,18.33,105.34,76.98,20,-0.64,1,1
1085009C,9,9,1993,2,1,61.53,37.72,26.77,132.02,120.01,20,0.52,2,2
